Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet_div_2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf_div_2tf,b_div_t,b_div_tdes,h_div_tw,h_div_tdes,D_div_t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan_,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
S,S20X66,S20X66,F,66,19.4,20,20,NaN,NaN,NaN,6.26,6  1/4 ,NaN,NaN,NaN,0.505,  1/2 ,  1/4 ,0.795, 13/16,NaN,NaN,NaN,1.63,1  5/8 ,NaN,NaN,NaN,NaN,NaN,NaN,3.93,NaN,NaN,33.5,NaN,NaN,1190,139,119,7.83,27.5,15.4,8.78,1.19,NaN,NaN,NaN,3.58,2530,NaN,30,37.3,NaN,NaN,21.9,69.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.49,19.2,55.3,NaN,61.5,46.3,52.5,16  3/4 ,3  1/2 ,NaN
S,S18X70,S18X70,F,70,20.5,18,18,NaN,NaN,NaN,6.25,6  1/4 ,NaN,NaN,NaN,0.711, 11/16,  3/8 ,0.691, 11/16,NaN,NaN,NaN,1.5,1  1/2 ,NaN,NaN,NaN,NaN,NaN,NaN,4.52,NaN,NaN,21.5,NaN,NaN,923,124,103,6.7,24,14.3,7.69,1.08,NaN,NaN,NaN,4.1,1800,NaN,27,29.2,NaN,NaN,16.6,61.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.42,17.3,50.9,NaN,57.2,42.3,48.5,15,3  1/2 ,NaN
S,S18X54.7,S18X54.7,F,54.7,16,18,18,NaN,NaN,NaN,6,6,NaN,NaN,NaN,0.461,  7/16,  1/4 ,0.691, 11/16,NaN,NaN,NaN,1.5,1  1/2 ,NaN,NaN,NaN,NaN,NaN,NaN,4.34,NaN,NaN,33.2,NaN,NaN,801,104,89,7.07,20.7,12.1,6.91,1.14,NaN,NaN,NaN,2.33,1550,NaN,26,26.9,NaN,NaN,16.6,51.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.42,17.3,50.7,NaN,56.7,42,48,15,3  1/2 ,NaN
S,S15X50,S15X50,F,50,14.7,15,15,NaN,NaN,NaN,5.64,5  5/8 ,NaN,NaN,NaN,0.55,  9/16,  5/16,0.622,  5/8 ,NaN,NaN,NaN,1.38,1  3/8 ,NaN,NaN,NaN,NaN,NaN,NaN,4.53,NaN,NaN,22.7,NaN,NaN,485,77,64.7,5.75,15.6,10,5.53,1.03,NaN,NaN,NaN,2.12,805,NaN,20.3,17.8,NaN,NaN,11.4,38.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.32,14.4,43.6,NaN,49.2,35.6,41.3,12  1/4 ,3  1/2 ,NaN
S,S15X42.9,S15X42.9,F,42.9,12.6,15,15,NaN,NaN,NaN,5.5,5  1/2 ,NaN,NaN,NaN,0.411,  7/16,  1/4 ,0.622,  5/8 ,NaN,NaN,NaN,1.38,1  3/8 ,NaN,NaN,NaN,NaN,NaN,NaN,4.42,NaN,NaN,30.4,NaN,NaN,446,69.2,59.4,5.95,14.3,9.08,5.19,1.06,NaN,NaN,NaN,1.54,737,NaN,19.8,16.9,NaN,NaN,11.4,34.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.31,14.4,43.4,NaN,48.9,35.5,41,12  1/4 ,3  1/2 ,NaN
S,S12X50,S12X50,F,50,14.7,12,12,NaN,NaN,NaN,5.48,5  1/2 ,NaN,NaN,NaN,0.687, 11/16,  3/8 ,0.659, 11/16,NaN,NaN,NaN,1.44,1  7/16,NaN,NaN,NaN,NaN,NaN,NaN,4.16,NaN,NaN,13.7,NaN,NaN,303,60.9,50.6,4.55,15.6,10.3,5.69,1.03,NaN,NaN,NaN,2.77,501,NaN,15.5,14,NaN,NaN,8.95,30.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.32,11.3,36.9,NaN,42.4,29.5,35,9  1/8 ,3,NaN
S,S12X40.8,S12X40.8,F,40.8,11.9,12,12,NaN,NaN,NaN,5.25,5  1/4 ,NaN,NaN,NaN,0.462,  7/16,  1/4 ,0.659, 11/16,NaN,NaN,NaN,1.44,1  7/16,NaN,NaN,NaN,NaN,NaN,NaN,3.98,NaN,NaN,20.6,NaN,NaN,270,52.7,45.1,4.76,13.5,8.86,5.13,1.06,NaN,NaN,NaN,1.69,433,NaN,14.9,12.9,NaN,NaN,8.95,26.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3,11.3,36.6,NaN,41.9,29.3,34.5,9  1/8 ,3,NaN
S,S12X35,S12X35,F,35,10.2,12,12,NaN,NaN,NaN,5.08,5  1/8 ,NaN,NaN,NaN,0.428,  7/16,  1/4 ,0.544,  9/16,NaN,NaN,NaN,1.19,1  3/16,NaN,NaN,NaN,NaN,NaN,NaN,4.67,NaN,NaN,23.1,NaN,NaN,228,44.6,38.1,4.72,9.84,6.8,3.88,0.98,NaN,NaN,NaN,1.05,323,NaN,14.5,10,NaN,NaN,7.24,22.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.22,11.5,36.4,NaN,41.5,29.1,34.2,9  5/8 ,3,NaN
S,S12X31.8,S12X31.8,F,31.8,9.31,12,12,NaN,NaN,NaN,5,5,NaN,NaN,NaN,0.35,  3/8 ,  3/16,0.544,  9/16,NaN,NaN,NaN,1.19,1  3/16,NaN,NaN,NaN,NaN,NaN,NaN,4.6,NaN,NaN,28.3,NaN,NaN,217,41.8,36.2,4.83,9.33,6.44,3.73,1,NaN,NaN,NaN,0.878,306,NaN,14.3,9.74,NaN,NaN,7.24,20.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.21,11.5,36.3,NaN,41.3,29,34,9  5/8 ,3,NaN
S,S10X35,S10X35,F,35,10.3,10,10,NaN,NaN,NaN,4.94,5,NaN,NaN,NaN,0.594,  5/8 ,  5/16,0.491,  1/2 ,NaN,NaN,NaN,1.13,1  1/8 ,NaN,NaN,NaN,NaN,NaN,NaN,5.03,NaN,NaN,13.4,NaN,NaN,147,35.4,29.4,3.78,8.3,6.19,3.36,0.899,NaN,NaN,NaN,1.29,188,NaN,11.8,7.13,NaN,NaN,5.08,17.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.16,9.51,31.7,NaN,36.7,24.9,29.9,7  3/4 ,2  3/4 ,NaN
S,S10X25.4,S10X25.4,F,25.4,7.45,10,10,NaN,NaN,NaN,4.66,4  5/8 ,NaN,NaN,NaN,0.311,  5/16,  3/16,0.491,  1/2 ,NaN,NaN,NaN,1.13,1  1/8 ,NaN,NaN,NaN,NaN,NaN,NaN,4.75,NaN,NaN,25.6,NaN,NaN,123,28.3,24.6,4.07,6.73,4.99,2.89,0.95,NaN,NaN,NaN,0.603,152,NaN,11.1,6.34,NaN,NaN,5.08,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.14,9.51,31.5,NaN,36.1,24.7,29.3,7  3/4 ,2  3/4 ,NaN
S,S8X23,S8X23,F,23,6.76,8,8,NaN,NaN,NaN,4.17,4  1/8 ,NaN,NaN,NaN,0.441,  7/16,  1/4 ,0.425,  7/16,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,4.91,NaN,NaN,14.1,NaN,NaN,64.7,19.2,16.2,3.09,4.27,3.67,2.05,0.795,NaN,NaN,NaN,0.55,61.2,NaN,7.9,3.5,NaN,NaN,3,9.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.999,7.58,26,NaN,30.1,20.2,24.3,6,2  1/4 ,NaN
S,S8X18.4,S8X18.4,F,18.4,5.4,8,8,NaN,NaN,NaN,4,4,NaN,NaN,NaN,0.271,  1/4 ,  1/8 ,0.425,  7/16,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,4.71,NaN,NaN,22.9,NaN,NaN,57.5,16.5,14.4,3.26,3.69,3.18,1.84,0.827,NaN,NaN,NaN,0.335,52.9,NaN,7.58,3.22,NaN,NaN,3,8.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.985,7.58,25.8,NaN,29.8,20,24,6,2  1/4 ,NaN
S,S6X17.25,S6X17.25,F,17.25,5.05,6,6,NaN,NaN,NaN,3.57,3  5/8 ,NaN,NaN,NaN,0.465,  7/16,  1/4 ,0.359,  3/8 ,NaN,NaN,NaN,0.813, 13/16,NaN,NaN,NaN,NaN,NaN,NaN,4.97,NaN,NaN,9.67,NaN,NaN,26.2,10.5,8.74,2.28,2.29,2.35,1.28,0.673,NaN,NaN,NaN,0.371,18.2,NaN,5.03,1.61,NaN,NaN,1.57,5.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.859,5.64,20.4,NaN,24,15.6,19.1,4  3/8 ,NaN,NaN
S,S6X12.5,S6X12.5,F,12.5,3.66,6,6,NaN,NaN,NaN,3.33,3  3/8 ,NaN,NaN,NaN,0.232,  1/4 ,  1/8 ,0.359,  3/8 ,NaN,NaN,NaN,0.813, 13/16,NaN,NaN,NaN,NaN,NaN,NaN,4.64,NaN,NaN,19.4,NaN,NaN,22,8.45,7.34,2.45,1.8,1.86,1.08,0.702,NaN,NaN,NaN,0.167,14.3,NaN,4.7,1.41,NaN,NaN,1.57,4.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.831,5.64,20.2,NaN,23.5,15.3,18.7,4  3/8 ,NaN,NaN
S,S5X10,S5X10,F,10,2.93,5,5,NaN,NaN,NaN,3,3,NaN,NaN,NaN,0.214,  3/16,  1/8 ,0.326,  5/16,NaN,NaN,NaN,0.75,  3/4 ,NaN,NaN,NaN,NaN,NaN,NaN,4.61,NaN,NaN,16.8,NaN,NaN,12.3,5.66,4.9,2.05,1.19,1.37,0.795,0.638,NaN,NaN,NaN,0.114,6.52,NaN,3.51,0.859,NaN,NaN,1.06,2.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.754,4.67,17.3,NaN,20.3,13,16,3  1/2 ,NaN,NaN
S,S4X9.5,S4X9.5,F,9.5,2.79,4,4,NaN,NaN,NaN,2.8,2  3/4 ,NaN,NaN,NaN,0.326,  5/16,  3/16,0.293,  5/16,NaN,NaN,NaN,0.75,  3/4 ,NaN,NaN,NaN,NaN,NaN,NaN,4.77,NaN,NaN,8.33,NaN,NaN,6.76,4.04,3.38,1.56,0.887,1.13,0.635,0.564,NaN,NaN,NaN,0.12,3.05,NaN,2.59,0.531,NaN,NaN,0.671,1.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.698,3.71,14.5,NaN,17.3,10.8,13.6,2  1/2 ,NaN,NaN
S,S4X7.7,S4X7.7,F,7.7,2.26,4,4,NaN,NaN,NaN,2.66,2  5/8 ,NaN,NaN,NaN,0.193,  3/16,  1/8 ,0.293,  5/16,NaN,NaN,NaN,0.75,  3/4 ,NaN,NaN,NaN,NaN,NaN,NaN,4.54,NaN,NaN,14.1,NaN,NaN,6.05,3.5,3.03,1.64,0.748,0.97,0.562,0.576,NaN,NaN,NaN,0.0732,2.57,NaN,2.47,0.481,NaN,NaN,0.671,1.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.676,3.71,14.4,NaN,17.1,10.7,13.3,2  1/2 ,NaN,NaN
S,S3X7.5,S3X7.5,F,7.5,2.2,3,3,NaN,NaN,NaN,2.51,2  1/2 ,NaN,NaN,NaN,0.349,  3/8 ,  3/16,0.26,  1/4 ,NaN,NaN,NaN,0.625,  5/8 ,NaN,NaN,NaN,NaN,NaN,NaN,4.83,NaN,NaN,5.38,NaN,NaN,2.91,2.35,1.94,1.15,0.578,0.821,0.461,0.513,NaN,NaN,NaN,0.0896,1.08,NaN,1.72,0.28,NaN,NaN,0.385,1.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.638,2.74,11.8,NaN,14.3,8.51,11,1  3/4 ,NaN,NaN
S,S3X5.7,S3X5.7,F,5.7,1.66,3,3,NaN,NaN,NaN,2.33,2  3/8 ,NaN,NaN,NaN,0.17,  3/16,  1/8 ,0.26,  1/4 ,NaN,NaN,NaN,0.625,  5/8 ,NaN,NaN,NaN,NaN,NaN,NaN,4.48,NaN,NaN,11,NaN,NaN,2.5,1.94,1.67,1.23,0.447,0.656,0.383,0.518,NaN,NaN,NaN,0.0433,0.838,NaN,1.6,0.242,NaN,NaN,0.385,0.961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.605,2.74,11.6,NaN,14,8.33,10.7,1  3/4 ,NaN,NaN
HP,HP18X204,HP18X204,F,204,60.2,18.3,18  1/4 ,NaN,NaN,NaN,18.1,18  1/8 ,NaN,NaN,NaN,1.13,1  1/8 ,  9/16,1.13,1  1/8 ,NaN,NaN,NaN,2.31,2  5/16,1  3/4 ,NaN,NaN,NaN,NaN,NaN,8.01,NaN,NaN,12.1,NaN,NaN,3480,433,380,7.6,1120,191,124,4.31,NaN,NaN,NaN,29.5,82500,NaN,77.7,397,NaN,NaN,82.3,212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.03,17.2,86.6,NaN,105,54.7,72.8,13  1/2 ,7  1/2 ,NaN
HP,HP18X181,HP18X181,F,181,53.2,18,18,NaN,NaN,NaN,18,18,NaN,NaN,NaN,1,1,  1/2 ,1,1,NaN,NaN,NaN,2.18,2  3/16,1 11/16,NaN,NaN,NaN,NaN,NaN,9,NaN,NaN,13.6,NaN,NaN,3020,379,336,7.53,974,167,108,4.28,NaN,NaN,NaN,20.7,70400,NaN,76.5,344,NaN,NaN,72.3,185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.96,17,86,NaN,104,54,72,13  1/2 ,7  1/2 ,NaN
HP,HP18X157,HP18X157,F,157,46.2,17.7,17  3/4 ,NaN,NaN,NaN,17.9,17  7/8 ,NaN,NaN,NaN,0.87,  7/8 ,  7/16,0.87,  7/8 ,NaN,NaN,NaN,2.05,2  1/16,1  5/8 ,NaN,NaN,NaN,NaN,NaN,10.3,NaN,NaN,15.6,NaN,NaN,2570,327,290,7.46,833,143,93.1,4.25,NaN,NaN,NaN,13.9,59000,NaN,75.3,293,NaN,NaN,62.3,159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.92,16.8,85.3,NaN,103,53.3,71.2,13  1/2 ,7  1/2 ,NaN
HP,HP18X135,HP18X135,F,135,39.9,17.5,17  1/2 ,NaN,NaN,NaN,17.8,17  3/4 ,NaN,NaN,NaN,0.75,  3/4 ,  3/8 ,0.75,  3/4 ,NaN,NaN,NaN,1.93,1 15/16,1  9/16,NaN,NaN,NaN,NaN,NaN,11.9,NaN,NaN,18.2,NaN,NaN,2200,281,251,7.43,706,122,79.3,4.21,NaN,NaN,NaN,9.12,49500,NaN,74.5,249,NaN,NaN,53.5,136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.85,16.8,84.9,NaN,103,52.8,70.6,13  1/2 ,7  1/2 ,NaN
HP,HP16X183,HP16X183,F,183,54.1,16.5,16  1/2 ,NaN,NaN,NaN,16.3,16  1/2 ,NaN,NaN,NaN,1.13,1  1/8 ,  9/16,1.13,1  1/8 ,NaN,NaN,NaN,2.31,2  5/16,1  3/4 ,NaN,NaN,NaN,NaN,NaN,7.21,NaN,NaN,10.5,NaN,NaN,2510,349,304,6.81,818,156,100,3.89,NaN,NaN,NaN,26.9,48300,NaN,62.2,285,NaN,NaN,65.4,169,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.55,15.4,77.6,NaN,93.9,49.3,65.6,11  3/4 ,5  1/2 ,NaN
HP,HP16X162,HP16X162,F,162,47.7,16.3,16  1/4 ,NaN,NaN,NaN,16.1,16  1/8 ,NaN,NaN,NaN,1,1,  1/2 ,1,1,NaN,NaN,NaN,2.18,2  3/16,1 11/16,NaN,NaN,NaN,NaN,NaN,8.05,NaN,NaN,11.9,NaN,NaN,2190,306,269,6.78,697,134,86.6,3.82,NaN,NaN,NaN,18.8,40800,NaN,61.6,248,NaN,NaN,57.8,149,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.45,15.3,76.9,NaN,93,48.7,64.8,11  3/4 ,5  1/2 ,NaN
HP,HP16X141,HP16X141,F,141,41.7,16,16,NaN,NaN,NaN,16,16,NaN,NaN,NaN,0.875,  7/8 ,  7/16,0.875,  7/8 ,NaN,NaN,NaN,2.06,2  1/16,1  5/8 ,NaN,NaN,NaN,NaN,NaN,9.14,NaN,NaN,13.6,NaN,NaN,1870,264,234,6.7,599,116,74.9,3.79,NaN,NaN,NaN,12.9,34300,NaN,60.5,212,NaN,NaN,50,128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.4,15.1,76.2,NaN,92.2,48,64,11  3/4 ,5  1/2 ,NaN
HP,HP16X121,HP16X121,F,121,35.8,15.8,15  3/4 ,NaN,NaN,NaN,15.9,15  7/8 ,NaN,NaN,NaN,0.75,  3/4 ,  3/8 ,0.75,  3/4 ,NaN,NaN,NaN,1.93,1 15/16,1  9/16,NaN,NaN,NaN,NaN,NaN,10.6,NaN,NaN,15.9,NaN,NaN,1590,226,201,6.66,504,97.6,63.4,3.75,NaN,NaN,NaN,8.35,28500,NaN,59.8,178,NaN,NaN,42.8,109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.34,15.1,75.8,NaN,91.7,47.5,63.4,11  3/4 ,5  1/2 ,NaN
HP,HP16X101,HP16X101,F,101,29.9,15.5,15  1/2 ,NaN,NaN,NaN,15.8,15  3/4 ,NaN,NaN,NaN,0.625,  5/8 ,  5/16,0.625,  5/8 ,NaN,NaN,NaN,1.81,1 13/16,1  1/2 ,NaN,NaN,NaN,NaN,NaN,12.6,NaN,NaN,19,NaN,NaN,1300,187,168,6.59,412,80.1,52.2,3.71,NaN,NaN,NaN,5.07,22800,NaN,58.8,145,NaN,NaN,35.3,89.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.27,14.9,75.1,NaN,90.9,46.8,62.6,11  3/4 ,5  1/2 ,NaN
HP,HP16X88,HP16X88,F,88,25.8,15.3,15  3/8 ,NaN,NaN,NaN,15.7,15 11/16,NaN,NaN,NaN,0.54,  9/16,  5/16,0.54,  9/16,NaN,NaN,NaN,1.72,1  3/4 ,1  7/16,NaN,NaN,NaN,NaN,NaN,14.5,NaN,NaN,22,NaN,NaN,1110,161,145,6.56,349,68.2,44.5,3.68,NaN,NaN,NaN,3.45,19000,NaN,57.9,123,NaN,NaN,30.2,76.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.21,14.8,74.6,NaN,90.3,46.3,62,11  3/4 ,5  1/2 ,NaN
HP,HP14X117,HP14X117,F,117,34.4,14.2,14  1/4 ,NaN,NaN,NaN,14.9,14  7/8 ,NaN,NaN,NaN,0.805, 13/16,  7/16,0.805, 13/16,NaN,NaN,NaN,1.5,2  1/16,1  5/8 ,NaN,NaN,NaN,NaN,NaN,9.25,NaN,NaN,14.2,NaN,NaN,1220,194,172,5.96,443,91.4,59.5,3.59,NaN,NaN,NaN,8.02,19900,NaN,49.9,149,NaN,NaN,38,96.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.15,13.4,4.15,NaN,85.4,43.3,58.2,11  1/4 ,5  1/2 ,NaN
HP,HP14X102,HP14X102,F,102,30.1,14,14,NaN,NaN,NaN,14.8,14  3/4 ,NaN,NaN,NaN,0.705, 11/16,  3/8 ,0.705, 11/16,NaN,NaN,NaN,1.38,1 15/16,1  9/16,NaN,NaN,NaN,NaN,NaN,10.5,NaN,NaN,16.2,NaN,NaN,1050,169,150,5.92,380,78.8,51.4,3.56,NaN,NaN,NaN,5.39,16800,NaN,49.2,128,NaN,NaN,33,83.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1,13.3,4.1,NaN,84.8,42.8,57.6,11  1/4 ,5  1/2 ,NaN
HP,HP14X89,HP14X89,F,89,26.1,13.8,13  7/8 ,NaN,NaN,NaN,14.7,14  3/4 ,NaN,NaN,NaN,0.615,  5/8 ,  5/16,0.615,  5/8 ,NaN,NaN,NaN,1.31,1  7/8 ,1  1/2 ,NaN,NaN,NaN,NaN,NaN,11.9,NaN,NaN,18.5,NaN,NaN,904,146,131,5.88,326,67.7,44.3,3.53,NaN,NaN,NaN,3.59,14200,NaN,48.5,110,NaN,NaN,28.6,71.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.05,13.2,4.05,NaN,84.1,42.3,57,11  1/4 ,5  1/2 ,NaN
HP,HP14X73,HP14X73,F,73,21.4,13.6,13  5/8 ,NaN,NaN,NaN,14.6,14  5/8 ,NaN,NaN,NaN,0.505,  1/2 ,  1/4 ,0.505,  1/2 ,NaN,NaN,NaN,1.19,1  3/4 ,1  7/16,NaN,NaN,NaN,NaN,NaN,14.4,NaN,NaN,22.6,NaN,NaN,729,118,107,5.84,261,54.6,35.8,3.49,NaN,NaN,NaN,2.01,11200,NaN,47.8,88,NaN,NaN,23.3,58.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,13.1,4,NaN,83.6,41.8,56.4,11  1/4 ,5  1/2 ,NaN
HP,HP12X89,HP12X89,F,89,25.9,12.4,12  3/8 ,NaN,NaN,NaN,12.3,12  3/8 ,NaN,NaN,NaN,0.72,  3/4 ,  3/8 ,0.72,  3/4 ,NaN,NaN,NaN,1.32,1  5/8 ,1  3/16,NaN,NaN,NaN,NaN,NaN,8.54,NaN,NaN,13.6,NaN,NaN,693,127,112,5.17,224,56,36.4,2.94,NaN,NaN,NaN,4.92,7640,NaN,35.9,79.5,NaN,NaN,24.3,62.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.42,11.7,59.2,NaN,71.5,37.1,49.4,9  1/2 ,5  1/2 ,NaN
HP,HP12X84,HP12X84,F,84,24.6,12.3,12  1/4 ,NaN,NaN,NaN,12.3,12  1/4 ,NaN,NaN,NaN,0.685, 11/16,  3/8 ,0.685, 11/16,NaN,NaN,NaN,1.38,1  9/16,1  3/16,NaN,NaN,NaN,NaN,NaN,8.97,NaN,NaN,14.2,NaN,NaN,650,120,106,5.14,213,53.2,34.6,2.94,NaN,NaN,NaN,4.24,7140,NaN,35.6,75,NaN,NaN,23.1,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.41,11.6,3.41,NaN,71.4,36.9,49.2,9  1/2 ,5  1/2 ,NaN
HP,HP12X74,HP12X74,F,74,21.8,12.1,12  1/8 ,NaN,NaN,NaN,12.2,12  1/4 ,NaN,NaN,NaN,0.605,  5/8 ,  5/16,0.61,  5/8 ,NaN,NaN,NaN,1.31,1  1/2 ,1  1/8 ,NaN,NaN,NaN,NaN,NaN,10,NaN,NaN,16.1,NaN,NaN,569,105,93.8,5.11,186,46.6,30.4,2.92,NaN,NaN,NaN,2.98,6160,NaN,35.2,65.5,NaN,NaN,20.4,51.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.38,11.5,3.38,NaN,70.8,36.4,48.6,9  1/2 ,5  1/2 ,NaN
HP,HP12X63,HP12X63,F,63,18.4,11.9,12,NaN,NaN,NaN,12.1,12  1/8 ,NaN,NaN,NaN,0.515,  1/2 ,  1/4 ,0.515,  1/2 ,NaN,NaN,NaN,1.25,1  7/16,1  1/16,NaN,NaN,NaN,NaN,NaN,11.8,NaN,NaN,18.9,NaN,NaN,472,88.3,79.1,5.06,153,38.7,25.3,2.88,NaN,NaN,NaN,1.83,5000,NaN,34.6,54.1,NaN,NaN,17.1,43.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.33,11.4,3.33,NaN,70.1,35.9,48,9  1/2 ,5  1/2 ,NaN
HP,HP12X53,HP12X53,F,53,15.5,11.8,11  3/4 ,NaN,NaN,NaN,12,12,NaN,NaN,NaN,0.435,  7/16,  1/4 ,0.435,  7/16,NaN,NaN,NaN,1.13,1  5/16,1  1/16,NaN,NaN,NaN,NaN,NaN,13.8,NaN,NaN,22.3,NaN,NaN,393,74,66.7,5.03,127,32.2,21.1,2.86,NaN,NaN,NaN,1.12,4080,NaN,34.2,44.7,NaN,NaN,14.3,36.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.29,11.4,3.29,NaN,69.7,35.6,47.6,9  1/2 ,5  1/2 ,NaN
